Step,first layer bits,second layer bits,third layer bits,fourth layer bits,fifth layer bits, Test Accuracy %,Train Accuracy % 
0,8,8,8,8,8,99.06999969,99.99666595
1,6,8,8,8,8,98.86999726,99.7699976
2,4,8,8,8,8,98.86999726,99.82666373
3,2,8,8,8,8,99.01999831,99.8816669
4,8,6,8,8,8,98.93000126,99.91000295
5,8,4,8,8,8,98.86000156,99.94333386
6,8,2,8,8,8,98.87999892,99.75833297
7,8,8,6,8,8,98.9199996,99.70166683
8,8,8,4,8,8,98.78000021,99.75500107
9,8,8,2,8,8,98.69999886,99.48333502
10,8,8,8,6,8,99.14000034,99.99833107
11,8,8,8,4,8,99.25000072,99.99833107
12,8,8,8,2,8,98.97000194,99.90500212
13,8,8,8,8,6,99.08999801,99.9966681
14,8,8,8,8,4,98.97999763,99.99833107
15,8,8,8,8,2,99.00000095,99.87499714
